date,department,role,event_type,new_hire_flag
2026-06-05,Engineering,Director,hire,1
2026-06-05,Sales,Individual Contributor,hire,1
2026-06-05,Operations,Individual Contributor,hire,1
2026-06-05,Marketing,Senior IC,hire,1
2026-06-05,Engineering,Senior IC,hire,1
2026-06-05,Support,Senior IC,hire,N/A
2026-06-06,Engineering,Senior IC,hire,1
2026-06-07,Support,Senior IC,exit,0
2026-06-07,Engineering,Director,hire,1
2026-06-07,Support,Individual Contributor,hire,1
2026-06-07,Support,Manager,hire,1
2026-06-07,Operations,Individual Contributor,hire,1
2026-06-07,Sales,Senior IC,exit,0
2026-06-08,Sales,,hire,1
2026-06-08,Engineering,Director,hire,1
2026-06-08,Sales,Individual Contributor,hire,1
2026-06-08,Sales,Senior IC,hire,1
2026-06-08,Sales,Senior IC,hire,1
2026-06-09,Marketing,Director,hire,1
2026-06-09,Sales,Senior IC,hire,1
2026-06-10,Sales,Manager,hire,1
2026-06-10,Marketing,Senior IC,hire,1
2026-06-10,Marketing,Individual Contributor,hire,1
2026-06-10,Support,Director,exit,0
2026-06-10,Marketing,Director,hire,1
2026-06-11,Marketing,Senior IC,hire,1
2026-06-11,Marketing,Individual Contributor,exit,0
2026-06-11,Marketing,Individual Contributor,exit,0
2026-06-11,Support,Senior IC,exit,0
2026-06-11,Sales,Manager,hire,1
2026-06-12,Marketing,Manager,hire,1
2026-06-12,Operations,Director,hire,1
2026-06-12,Sales,Director,hire,1
2026-06-12,Sales,Individual Contributor,hire,1
2026-06-12,Operations,Manager,hire,1
2026-06-13,Marketing,Director,hire,1
2026-06-13,Support,Director,exit,0
2026-06-13,Operations,Individual Contributor,hire,1
2026-06-13,Engineering,Individual Contributor,hire,1
2026-06-13,Operations,Senior IC,hire,1
2026-06-13,Marketing,Manager,hire,1
2026-06-14,Marketing,Manager,hire,1
2026-06-14,Marketing,Director,exit,0
2026-06-14,Sales,Director,exit,0
2026-06-14,Support,Individual Contributor,hire,1
2026-06-15,Marketing,Senior IC,hire,1
2026-06-16,Operations,,hire,1
2026-06-16,Engineering,Director,hire,1
2026-06-16,Operations,Individual Contributor,hire,1
2026-06-17,Marketing,Senior IC,exit,0
2026-06-17,Support,Manager,exit,0
2026-06-17,Operations,Director,hire,1
2026-06-17,Marketing,Individual Contributor,hire,1
2026-06-17,Operations,Manager,hire,1
2026-06-17,Support,Senior IC,exit,0
2026-06-17,Marketing,Manager,exit,0
2026-06-19,Engineering,Individual Contributor,exit,0
2026-06-21,Support,Director,hire,1
2026-06-21,Support,Senior IC,hire,1
2026-06-21,Sales,Director,exit,0
2026-06-21,Engineering,Director,hire,1
2026-06-21,Sales,Senior IC,hire,1
2026-06-22,Sales,Senior IC,hire,1
2026-06-22,Marketing,,hire,1
2026-06-24,Engineering,Director,hire,1
2026-06-26,Engineering,Senior IC,hire,1
2026-06-26,Engineering,Individual Contributor,hire,1
2026-06-26,Engineering,Individual Contributor,hire,1
2026-06-28,Engineering,Director,hire,1
2026-06-28,Support,Director,hire,1
2026-06-29,Operations,Director,exit,0
2026-06-29,Support,Manager,hire,1
2026-06-29,Support,Director,exit,0
