date,channel,campaign,spend,clicks,conversions
2026-06-05,Organic,Spring Sale,237.52,140,3
2026-06-05,Email,Retargeting,230.12,724,9
2026-06-05,Display,Newsletter,167.11,456,27
2026-06-05,Referral,Newsletter,232.07,568,17
2026-06-05,Referral,Brand Awareness,259.67,716,35
2026-06-05,Social,Product Launch,344.27,514,N/A
2026-06-05,Email,Newsletter,219.73,279,12
2026-06-05,Social,Holiday Promo,89.07,773,14
2026-06-05,Display,Brand Awareness,78.16,477,25
2026-06-05,Organic,Newsletter,424.29,366,22
2026-06-05,Social,Retargeting,579.45,73,0
2026-06-05,Social,Retargeting,557.0,113,6
2026-06-05,Paid Search,Product Launch,148.63,110,1
2026-06-05,Paid Search,Holiday Promo,242.91,643,25
2026-06-06,Display,Newsletter,53.33,313,5
2026-06-06,Referral,Retargeting,26.21,675,42
2026-06-06,Email,Brand Awareness,39.49,550,32
2026-06-06,Display,Brand Awareness,376.81,548,2
2026-06-06,Social,Holiday Promo,20.17,388,5
2026-06-06,Email,Retargeting,224.81,108,6
2026-06-06,Organic,Brand Awareness,320.29,435,23
2026-06-06,Paid Search,Spring Sale,338.76,740,46
2026-06-06,Organic,Product Launch,221.54,592,17
2026-06-06,Organic,Brand Awareness,283.76,251,12
2026-06-06,Paid Search,Product Launch,121.52,608,32
2026-06-06,Organic,Spring Sale,311.84,129,5
2026-06-06,Organic,Product Launch,528.15,139,9
2026-06-06,Display,Retargeting,580.31,276,18
2026-06-07,Email,Retargeting,415.32,269,0
2026-06-07,Paid Search,Product Launch,59.18,513,14
2026-06-07,Display,Brand Awareness,484.09,713,26
2026-06-07,Organic,Newsletter,25.64,381,8
2026-06-07,Email,Spring Sale,251.38,274,10
2026-06-07,Organic,Brand Awareness,296.4,97,2
2026-06-07,Organic,,126.01,243,6
2026-06-07,Display,Brand Awareness,156.22,530,15
2026-06-07,Social,Brand Awareness,137.6,291,7
2026-06-07,Email,Brand Awareness,471.78,653,7
2026-06-07,Display,Holiday Promo,305.75,100,0
2026-06-07,Paid Search,Retargeting,235.29,574,20
2026-06-07,Organic,Product Launch,304.67,524,32
2026-06-08,Social,Newsletter,94.38,427,16
2026-06-08,Referral,Newsletter,38.89,453,11
2026-06-08,Display,Brand Awareness,285.17,423,3
2026-06-08,Organic,Retargeting,203.08,735,0
2026-06-08,Display,Brand Awareness,240.07,32,0
2026-06-08,Email,Newsletter,519.87,353,5
2026-06-08,Email,Brand Awareness,176.26,581,21
2026-06-08,Social,Retargeting,265.89,394,13
2026-06-08,Email,Product Launch,515.51,737,17
2026-06-08,Social,Newsletter,96.06,481,14
2026-06-09,Email,Brand Awareness,342.1,758,24
2026-06-09,Social,Holiday Promo,106.74,220,12
2026-06-09,Social,Retargeting,309.77,29,1
2026-06-09,Email,Product Launch,346.04,518,3
2026-06-09,Paid Search,Holiday Promo,114.74,427,6
2026-06-09,Referral,Holiday Promo,75.86,280,10
2026-06-09,Email,Product Launch,345.0,286,8
2026-06-10,Referral,Spring Sale,223.63,40,2
2026-06-10,Social,Newsletter,354.02,640,41
2026-06-10,Social,Product Launch,225.96,571,32
2026-06-10,Display,Retargeting,535.99,519,24
2026-06-10,Email,Retargeting,386.39,648,9
2026-06-10,Display,Product Launch,264.65,191,9
2026-06-10,Referral,Spring Sale,65.88,605,21
2026-06-10,Email,Product Launch,398.75,253,8
2026-06-10,Display,Retargeting,177.32,639,28
2026-06-10,Display,Newsletter,322.14,391,14
2026-06-10,Social,Brand Awareness,515.44,443,4
2026-06-11,Email,Holiday Promo,426.4,697,5
2026-06-11,Social,Retargeting,79.75,235,2
2026-06-11,Organic,Spring Sale,35.29,504,25
2026-06-11,Paid Search,Spring Sale,172.22,556,9
2026-06-11,Display,Retargeting,199.43,106,3
2026-06-11,Email,Retargeting,383.36,775,8
2026-06-11,Social,Spring Sale,40.39,559,22
2026-06-11,Referral,Retargeting,585.49,353,17
2026-06-11,Organic,Retargeting,98.37,298,17
2026-06-12,Organic,Retargeting,386.01,625,40
2026-06-12,Referral,Newsletter,391.08,597,34
2026-06-12,Email,Retargeting,333.01,337,2
2026-06-12,Email,Product Launch,259.08,472,9
2026-06-12,Paid Search,,323.52,330,4
2026-06-12,Email,Retargeting,330.36,372,22
2026-06-12,Referral,Product Launch,25.3,523,27
2026-06-12,Organic,Brand Awareness,482.13,319,17
2026-06-13,Referral,Newsletter,273.52,213,3
2026-06-13,Display,Holiday Promo,394.67,187,6
2026-06-13,Email,Spring Sale,264.9,245,7
2026-06-13,Organic,Holiday Promo,417.09,549,18
2026-06-13,Display,Newsletter,489.11,684,26
2026-06-13,Paid Search,Brand Awareness,99.24,212,1
2026-06-13,Referral,Newsletter,282.6,672,44
2026-06-13,Referral,Brand Awareness,205.97,657,9
2026-06-13,Organic,Spring Sale,127.84,70,0
2026-06-13,Email,Brand Awareness,434.81,308,0
2026-06-13,Paid Search,Brand Awareness,28.54,258,6
2026-06-14,Email,Retargeting,598.82,450,14
2026-06-14,Paid Search,Product Launch,66.53,733,48
2026-06-14,Paid Search,Product Launch,469.88,169,1
2026-06-14,Referral,Brand Awareness,131.47,576,16
2026-06-14,Paid Search,Spring Sale,585.27,410,22
2026-06-14,Referral,,163.35,274,1
2026-06-14,Referral,Holiday Promo,467.18,223,8
2026-06-14,Social,Retargeting,245.69,701,19
2026-06-14,Social,Holiday Promo,442.38,350,23
2026-06-14,Organic,Spring Sale,166.92,582,19
2026-06-14,Email,Spring Sale,520.92,223,3
2026-06-15,Display,Retargeting,208.22,261,5
