order_date,product,category,region,quantity,unit_price,revenue
2026-06-05,Wireless Mouse,Electronics,Mombasa,4,223.76,895.04
2026-06-05,Notebook Pack,Stationery,Eldoret,2,222.26,444.52
2026-06-05,Ballpoint Pens (Box),Stationery,Mombasa,2,14.38,28.76
2026-06-05,Standing Desk,Furniture,Eldoret,1,154.08,154.08
2026-06-05,Standing Desk,Furniture,Mombasa,7,216.23,1513.61
2026-06-05,Bluetooth Speaker,Electronics,Mombasa,N/A,178.83,178.83
2026-06-05,Ballpoint Pens (Box),Stationery,Mombasa,3,105.37,316.11
2026-06-05,Desk Lamp,Furniture,Nairobi,7,35.15,246.05
2026-06-05,Desk Lamp,Furniture,Nairobi,5,255.01,1275.05
2026-06-06,Office Chair,Furniture,Nairobi,7,292.07,2044.49
2026-06-06,USB-C Hub,Electronics,Eldoret,6,249.67,1498.02
2026-06-06,Standing Desk,Furniture,Mombasa,1,212.85,212.85
2026-06-06,USB-C Hub,Electronics,Nairobi,4,295.64,1182.56
2026-06-06,Ballpoint Pens (Box),Stationery,Mombasa,6,87.0,522.0
2026-06-06,Desk Lamp,Furniture,Nairobi,5,109.8,549.0
2026-06-06,Notebook Pack,Stationery,Mombasa,4,162.57,650.28
2026-06-06,Bluetooth Speaker,Electronics,Kisumu,4,116.94,467.76
2026-06-06,Wireless Mouse,Electronics,Kisumu,1,72.57,72.57
2026-06-06,Ballpoint Pens (Box),Stationery,Eldoret,4,83.98,335.92
2026-06-06,Desk Lamp,Furniture,Nakuru,8,67.72,541.76
2026-06-06,Bluetooth Speaker,Electronics,Mombasa,3,47.15,141.45
2026-06-06,USB-C Hub,Electronics,Eldoret,7,225.37,1577.59
2026-06-06,Ballpoint Pens (Box),Stationery,Eldoret,3,111.79,335.37
2026-06-06,Bluetooth Speaker,Electronics,Nairobi,1,31.82,31.82
2026-06-07,Notebook Pack,Stationery,Eldoret,7,238.66,1670.62
2026-06-07,Office Chair,Furniture,Eldoret,8,118.51,948.08
2026-06-07,USB-C Hub,Electronics,Nairobi,1,291.47,291.47
2026-06-07,USB-C Hub,Electronics,Nairobi,6,231.74,1390.44
2026-06-07,USB-C Hub,Electronics,Nairobi,8,133.26,1066.08
2026-06-07,USB-C Hub,Electronics,Eldoret,3,291.71,875.13
2026-06-07,Office Chair,Furniture,Eldoret,5,261.8,1309.0
2026-06-07,Standing Desk,Furniture,Eldoret,3,50.09,150.27
2026-06-07,Wireless Mouse,Electronics,Nairobi,8,181.69,1453.52
2026-06-07,Office Chair,Furniture,Mombasa,5,279.08,1395.4
2026-06-08,Standing Desk,Furniture,Nairobi,2,264.01,528.02
2026-06-08,Bluetooth Speaker,Electronics,Mombasa,3,245.73,737.19
2026-06-08,Bluetooth Speaker,Electronics,Kisumu,3,284.32,852.96
2026-06-08,Ballpoint Pens (Box),Stationery,Kisumu,4,289.49,1157.96
2026-06-08,Ballpoint Pens (Box),Stationery,Nakuru,6,298.57,1791.42
2026-06-08,Bluetooth Speaker,Electronics,Nairobi,4,40.7,162.8
2026-06-08,Desk Lamp,Furniture,Eldoret,4,11.21,44.84
2026-06-08,Standing Desk,Furniture,,1,7.12,7.12
2026-06-09,Wireless Mouse,Electronics,Eldoret,2,258.59,517.18
2026-06-09,Standing Desk,Furniture,Mombasa,8,87.15,697.2
2026-06-09,Notebook Pack,Stationery,Mombasa,8,218.39,1747.12
