date,product,warehouse,units_shipped,shipping_cost,on_time
2026-06-05,Circuit Boards,Nakuru Depot,156,425.29,True
2026-06-05,Packaging Boxes,Kisumu Hub,482,1519.19,True
2026-06-05,Rubber Seals,Kisumu Hub,166,651.95,True
2026-06-05,Plastic Housings,Mombasa Port,49,210.5,True
2026-06-05,Steel Bolts,Kisumu Hub,39,111.17,True
2026-06-05,Steel Bolts,Nakuru Depot,457,N/A,False
2026-06-05,Rubber Seals,Nakuru Depot,79,213.74,False
2026-06-05,Glass Panels,,464,1067.31,True
2026-06-05,Plastic Housings,Nairobi DC,476,1638.58,True
2026-06-05,Circuit Boards,Mombasa Port,393,1760.1,True
2026-06-05,Glass Panels,Eldoret Store,481,460.18,True
2026-06-06,Glass Panels,Mombasa Port,355,513.62,True
2026-06-06,Glass Panels,Kisumu Hub,78,337.29,True
2026-06-06,Packaging Boxes,Kisumu Hub,204,895.15,True
2026-06-06,Packaging Boxes,Eldoret Store,357,1409.39,True
2026-06-06,Circuit Boards,Nakuru Depot,158,298.01,True
2026-06-07,Circuit Boards,Eldoret Store,121,466.48,True
2026-06-07,Glass Panels,Nakuru Depot,247,250.15,True
2026-06-07,Circuit Boards,Kisumu Hub,245,516.8,True
2026-06-07,Plastic Housings,Mombasa Port,465,1063.76,True
2026-06-07,Rubber Seals,Mombasa Port,230,256.12,True
2026-06-07,Rubber Seals,Nairobi DC,88,367.71,True
2026-06-07,Plastic Housings,Kisumu Hub,403,659.53,True
2026-06-07,Circuit Boards,Nakuru Depot,163,668.48,True
2026-06-07,Steel Bolts,Nakuru Depot,147,474.55,True
2026-06-08,Plastic Housings,Nakuru Depot,191,156.91,False
2026-06-08,Packaging Boxes,Nairobi DC,373,560.02,True
2026-06-08,Rubber Seals,Kisumu Hub,212,876.34,True
2026-06-08,Rubber Seals,Kisumu Hub,111,137.59,True
2026-06-08,Plastic Housings,Mombasa Port,263,526.55,True
2026-06-09,Plastic Housings,Nakuru Depot,266,342.14,False
2026-06-09,Steel Bolts,Mombasa Port,415,570.83,True
2026-06-09,Plastic Housings,Mombasa Port,402,399.0,True
2026-06-09,Glass Panels,Nairobi DC,229,551.21,True
2026-06-09,Steel Bolts,Nakuru Depot,258,442.9,True
2026-06-09,Packaging Boxes,Mombasa Port,271,498.7,True
2026-06-09,Plastic Housings,Mombasa Port,144,470.22,True
2026-06-09,Plastic Housings,Nairobi DC,252,855.35,True
2026-06-09,Packaging Boxes,Eldoret Store,102,318.95,True
2026-06-10,Rubber Seals,Nairobi DC,77,139.62,True
2026-06-10,Rubber Seals,Nairobi DC,84,258.8,True
2026-06-10,Rubber Seals,Nakuru Depot,36,98.73,True
2026-06-10,Packaging Boxes,Kisumu Hub,128,304.19,True
2026-06-11,Steel Bolts,Kisumu Hub,339,409.24,True
2026-06-11,Circuit Boards,Nakuru Depot,492,843.18,False
2026-06-11,Steel Bolts,Nairobi DC,103,102.27,True
2026-06-11,Circuit Boards,Nakuru Depot,118,216.72,True
2026-06-11,Packaging Boxes,Kisumu Hub,230,991.03,True
2026-06-11,Steel Bolts,Nairobi DC,165,540.39,True
2026-06-11,Packaging Boxes,Kisumu Hub,404,862.18,True
2026-06-11,Glass Panels,Eldoret Store,390,1184.6,True
2026-06-11,Packaging Boxes,Eldoret Store,151,335.37,False
2026-06-12,Plastic Housings,Eldoret Store,332,413.44,True
2026-06-12,Plastic Housings,Mombasa Port,477,722.1,True
2026-06-12,Steel Bolts,Eldoret Store,60,185.42,True
2026-06-12,Packaging Boxes,Eldoret Store,252,873.65,True
2026-06-12,Rubber Seals,Eldoret Store,108,370.76,False
2026-06-13,Circuit Boards,Nakuru Depot,187,585.4,True
2026-06-13,Steel Bolts,Nakuru Depot,233,547.62,False
2026-06-13,Steel Bolts,Mombasa Port,267,805.5,True
2026-06-13,Circuit Boards,Nairobi DC,76,329.57,True
2026-06-13,Packaging Boxes,Nakuru Depot,365,960.53,True
2026-06-13,Steel Bolts,Mombasa Port,272,658.15,True
2026-06-13,Rubber Seals,Nakuru Depot,297,904.87,True
2026-06-13,Packaging Boxes,Eldoret Store,11,17.66,True
2026-06-13,Glass Panels,Nakuru Depot,460,1225.5,True
2026-06-13,Circuit Boards,Mombasa Port,142,269.31,True
2026-06-13,Packaging Boxes,,70,67.81,True
2026-06-14,Packaging Boxes,Kisumu Hub,337,1425.79,True
2026-06-14,Steel Bolts,Mombasa Port,414,1846.97,True
2026-06-14,Steel Bolts,Kisumu Hub,69,216.72,False
2026-06-15,Plastic Housings,Eldoret Store,52,92.4,True
2026-06-15,Glass Panels,Kisumu Hub,469,938.54,True
2026-06-15,Steel Bolts,Kisumu Hub,427,688.04,False
2026-06-15,Circuit Boards,Nairobi DC,100,278.83,False
2026-06-15,Glass Panels,Nairobi DC,408,1417.24,True
2026-06-15,Plastic Housings,Kisumu Hub,494,1985.43,True
2026-06-15,Packaging Boxes,Nakuru Depot,292,471.98,True
2026-06-15,Plastic Housings,Nakuru Depot,307,422.39,True
2026-06-16,Packaging Boxes,Nakuru Depot,198,227.04,True
2026-06-16,Packaging Boxes,Mombasa Port,104,302.4,False
2026-06-16,Plastic Housings,Kisumu Hub,102,89.54,True
2026-06-16,Rubber Seals,Eldoret Store,100,149.5,True
2026-06-16,Packaging Boxes,,228,949.34,False
2026-06-16,Plastic Housings,Eldoret Store,61,79.79,True
2026-06-16,Glass Panels,Nairobi DC,16,35.17,True
2026-06-16,Steel Bolts,Nairobi DC,433,558.16,True
2026-06-16,Packaging Boxes,Eldoret Store,147,124.94,False
2026-06-17,Plastic Housings,Kisumu Hub,287,1135.1,True
2026-06-17,Rubber Seals,Eldoret Store,81,332.25,True
2026-06-17,Circuit Boards,Nakuru Depot,167,229.07,True
2026-06-17,Circuit Boards,Eldoret Store,364,456.96,True
2026-06-18,Circuit Boards,Nairobi DC,288,775.5,True
2026-06-18,Steel Bolts,Mombasa Port,82,72.88,True
2026-06-18,Circuit Boards,Kisumu Hub,85,139.04,True
2026-06-18,Plastic Housings,Nairobi DC,206,539.67,False
2026-06-19,Circuit Boards,Kisumu Hub,62,67.1,True
2026-06-19,Steel Bolts,Nairobi DC,194,589.11,True
2026-06-19,Circuit Boards,Eldoret Store,281,413.37,True
2026-06-19,Plastic Housings,Kisumu Hub,467,1453.12,True
2026-06-19,Steel Bolts,Kisumu Hub,458,1919.05,True
2026-06-19,Circuit Boards,Nairobi DC,487,1811.04,True
2026-06-20,Plastic Housings,Mombasa Port,408,809.86,True
2026-06-20,Rubber Seals,Nairobi DC,379,461.89,True
2026-06-20,Circuit Boards,Mombasa Port,382,433.44,False
2026-06-20,Rubber Seals,Kisumu Hub,103,204.09,True
2026-06-20,Rubber Seals,Eldoret Store,365,1363.62,True
2026-06-21,Rubber Seals,Eldoret Store,206,543.69,True
2026-06-21,Glass Panels,Mombasa Port,282,626.92,True
2026-06-21,Glass Panels,Eldoret Store,225,826.51,True
2026-06-21,Plastic Housings,Nairobi DC,122,203.77,True
2026-06-21,Steel Bolts,Kisumu Hub,445,1275.36,False
2026-06-21,Steel Bolts,Nairobi DC,481,2006.75,True
2026-06-22,Rubber Seals,Mombasa Port,160,622.47,True
2026-06-22,Rubber Seals,Mombasa Port,486,767.75,True
2026-06-22,Packaging Boxes,Nairobi DC,392,1708.96,True
2026-06-22,Plastic Housings,Nairobi DC,203,685.26,True
2026-06-22,Plastic Housings,Nairobi DC,37,120.33,True
2026-06-23,Packaging Boxes,Kisumu Hub,25,33.07,True
2026-06-23,Glass Panels,Nakuru Depot,16,21.66,True
2026-06-23,Packaging Boxes,Eldoret Store,390,1320.03,True
2026-06-23,Plastic Housings,,220,537.39,True
