date,category,priority,channel,ticket_count
2026-06-05,Account,Low,Chat,1
2026-06-05,Bug Report,High,Chat,1
2026-06-05,Billing,Low,Phone,1
2026-06-05,Technical,Urgent,Phone,1
2026-06-05,Technical,Low,Chat,1
2026-06-05,Technical,High,Chat,N/A
2026-06-05,Feature Request,Low,Email,1
2026-06-06,Technical,Medium,Phone,1
2026-06-06,Bug Report,High,Chat,1
2026-06-06,Bug Report,Medium,Chat,1
2026-06-06,Technical,High,Chat,1
2026-06-06,Technical,Low,Chat,1
2026-06-06,Account,Medium,Chat,1
2026-06-06,Bug Report,Medium,Email,1
2026-06-07,Feature Request,Medium,Email,1
2026-06-07,Bug Report,Medium,Chat,1
2026-06-07,Technical,Low,Chat,1
2026-06-07,Feature Request,Urgent,Phone,1
2026-06-07,Account,Medium,Email,1
2026-06-08,Technical,Low,Email,1
2026-06-08,Feature Request,Urgent,Chat,1
2026-06-08,Bug Report,Low,Email,1
2026-06-08,Technical,Medium,Chat,1
2026-06-08,Account,Urgent,Chat,1
2026-06-08,Technical,Urgent,Email,1
2026-06-08,Feature Request,Medium,Chat,1
2026-06-08,Technical,Urgent,Email,1
2026-06-08,Bug Report,Medium,Email,1
2026-06-08,Account,High,Email,1
2026-06-09,Technical,High,Phone,1
2026-06-09,Bug Report,Low,Email,1
2026-06-09,Bug Report,Medium,Chat,1
2026-06-09,Bug Report,Medium,Phone,1
2026-06-09,Bug Report,Urgent,Phone,1
2026-06-09,Feature Request,High,Email,1
2026-06-09,Billing,Low,Email,1
2026-06-09,Account,Medium,Chat,1
2026-06-09,Account,Low,Email,1
2026-06-09,Account,Urgent,Chat,1
2026-06-09,Bug Report,High,Email,1
2026-06-09,Feature Request,Low,Phone,1
2026-06-10,Account,Medium,Phone,1
2026-06-10,Bug Report,High,Chat,1
2026-06-10,Technical,Low,Chat,1
2026-06-10,Feature Request,Urgent,Email,1
2026-06-10,Account,Low,Chat,1
2026-06-10,Billing,Medium,Chat,1
2026-06-10,Account,High,Chat,1
2026-06-11,Account,High,Phone,1
2026-06-11,Account,Urgent,Email,1
2026-06-11,Account,Urgent,Email,1
2026-06-11,Feature Request,Urgent,Email,1
2026-06-11,Technical,Medium,Email,1
2026-06-11,Technical,Medium,Email,1
2026-06-11,Bug Report,High,Email,1
2026-06-11,Bug Report,Urgent,Email,1
2026-06-11,Bug Report,Low,Chat,1
2026-06-12,Feature Request,Urgent,Chat,1
2026-06-12,Bug Report,Low,Phone,1
2026-06-12,Technical,Low,Chat,1
2026-06-12,Billing,Medium,Chat,1
2026-06-12,Technical,Medium,Phone,1
2026-06-12,Feature Request,High,Phone,1
2026-06-12,Feature Request,Medium,Phone,1
2026-06-12,Billing,Medium,Chat,1
2026-06-12,Billing,Medium,Chat,1
2026-06-12,Billing,High,Email,1
2026-06-13,Billing,Urgent,Chat,1
2026-06-13,Feature Request,Low,,1
2026-06-13,Technical,Low,Email,1
2026-06-13,Bug Report,Urgent,Chat,1
2026-06-13,Account,Low,Chat,1
2026-06-13,Billing,Urgent,Chat,1
2026-06-13,Feature Request,Medium,Email,1
2026-06-13,Billing,High,Chat,1
2026-06-13,Billing,Low,Phone,1
2026-06-14,Billing,Urgent,Chat,1
2026-06-14,Technical,Medium,Chat,1
2026-06-14,Billing,Low,Email,1
2026-06-14,Technical,Urgent,Chat,1
2026-06-14,Account,Medium,Email,1
2026-06-14,Account,Urgent,Chat,1
2026-06-14,Account,Medium,Chat,1
2026-06-14,Billing,High,Phone,1
